nr_pokoju	liczba_osob	standard	cena
101	2	S	220
102	2	S	220
103	2	S	220
104	2	S	220
105	2	S	220
106	2	S	220
107	2	S	220
108	2	S	220
109	2	S	220
110	2	S	220
111	2	S	220
112	2	S	220
113	2	S	220
114	2	S	220
115	2	S	220
116	2	S	220
117	2	S	220
118	2	S	220
119	2	S	220
120	2	S	220
201	2	S	220
202	2	S	220
203	2	S	220
204	2	S	220
205	2	S	220
206	2	S	220
207	2	S	200
208	2	S	200
209	2	S	200
210	2	S	200
211	2	S	200
212	2	S	200
213	2	S	200
214	2	S	200
215	2	S	200
216	2	S	200
217	2	W	250
218	2	W	250
219	2	W	250
220	2	W	250
301	1	W	250
302	1	W	250
303	1	W	250
304	1	S	200
305	1	S	200
306	1	S	200
307	1	S	200
308	1	S	200
309	1	S	200
310	1	S	200
311	1	S	200
312	1	S	200
313	1	S	200
314	1	S	200
315	1	S	200
316	2	W	400
317	2	W	400
318	2	W	400
319	2	W	400
320	2	W	400
401	2	S	220
402	2	S	220
403	2	S	220
404	2	S	220
405	2	S	220
406	2	S	220
407	2	S	220
408	2	S	220
409	2	S	220
410	2	S	220
411	2	S	220
412	2	S	220
413	2	S	220
414	2	S	220
415	2	S	220
416	2	S	220
417	2	S	220
418	2	S	220
419	2	S	220
420	2	S	220
501	3	W	500
502	3	W	500
503	3	W	500
504	3	W	500
505	3	W	500
506	4	W	600
507	4	W	600
508	4	W	600
509	4	W	600
510	4	W	600
